Variable Explanation:

senator- Name of Senator (first last)
party- 0= Republican, 1= Democrat, 2= Independent
sex- 1=Male, 0=Female
trade_date- Date of initial transaction
owner- Owner of the trade (Spouse, Child, or Self=Senator)
ticker- Stock Ticker
type- Purchase or Sale
trade_amount_max- Maximum amount the trade could have been
trade_amount_min- Minimum amount the trade could have been
buy_one_year_change- One year change in value of the stock purchased from the date of transaction
one_mo_vtsax_change- One month change in value of the VTSAX from the date of transaction
one_year_vtsax_change- One year change in value of the VTSAX from the date of transaction
buy_compare_one_year- Change in stock value minus change in VTSAX after one year from date of transaction
one_month_sell- One month change in value of the stock sold from the date of transaction
one_month_sell_compare- Change in stock value minus change in VTSAX after one month from date of transaction
weight- Weighted value of the average between the minimum and maximum amount the trade could have been

Data:

senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight
Thomas Carper,1,1,29jan2021,Spouse,XCAPX,Purchase,50000,15000,,.031875463,,,,,4.0599999
Patrick Toomey,0,1,28jan2021,Child,GME,Sale,15000,1000,,.01632356,,,-.438378099,-.454701659,1
Jerry Moran,0,1,27jan2021,Spouse,COST,Sale,15000,1000,,.054616112,,,-.044024804,-.098640916,1
Jerry Moran,0,1,27jan2021,Self,COST,Sale,15000,1000,,.054616112,,,-.044024804,-.098640916,1
Patrick Toomey,0,1,27jan2021,Child,SHOP,Sale,15000,1000,,.054616112,,,.191442019,.136825907,1
Patrick Toomey,0,1,27jan2021,Child,GME,Purchase,15000,1000,,.054616112,,,,,1
Patrick Toomey,0,1,27jan2021,Child,TSLA,Sale,15000,1000,,.054616112,,,-.141339567,-.195955678,1
Thomas Carper,1,1,27jan2021,Spouse,DD,Sale,50000,15000,,.054616112,,,-.079845956,-.134462068,4.0599999
Thomas Carper,1,1,26jan2021,Spouse,PBA,Sale,15000,1000,,.015449151,,,.019485294,.004036143,1
Thomas Carper,1,1,26jan2021,Spouse,AQN,Purchase,15000,1000,,.015449151,,,,,1
Thomas Carper,1,1,25jan2021,Spouse,VIAV,Sale,15000,1000,,.0124439,,,.04,.0275561,1
Thomas Carper,1,1,25jan2021,Spouse,EVOP,Sale,15000,1000,,.0124439,,,.094749795,.082305894,1
Gary Peters,1,1,15jan2021,Self,STAG,Purchase,15000,1000,,.052006253,,,,,1
Gary Peters,1,1,15jan2021,Self,AEP,Purchase,15000,1000,,.052006253,,,,,1
Thomas Carper,1,1,13jan2021,Spouse,RODM,Sale,15000,1000,,.035013427,,,.00310559,-.031907837,1
Thomas Carper,1,1,13jan2021,Spouse,FCPIX,Purchase,15000,1000,,.035013427,,,,,1
Thomas Carper,1,1,13jan2021,Spouse,RODM,Sale,15000,1000,,.035013427,,,.00310559,-.031907837,1
Thomas Carper,1,1,13jan2021,Spouse,FCPIX,Purchase,15000,1000,,.035013427,,,,,1
Thomas Carper,1,1,11jan2021,Spouse,FEYE,Sale,15000,1000,,.039510526,,,-.066144473,-.105654999,1
Thomas Carper,1,1,11jan2021,Spouse,PSQ,Sale,15000,1000,,.039510526,,,-.060627178,-.100137703,1
Thomas Carper,1,1,11jan2021,Spouse,SH,Sale,15000,1000,,.039510526,,,-.032694476,-.072205002,1
Thomas Carper,1,1,11jan2021,Spouse,DDOG,Sale,15000,1000,,.039510526,,,.116738609,.077228083,1
Thomas Carper,1,1,11jan2021,Spouse,PSQ,Sale,15000,1000,,.039510526,,,-.060627178,-.100137703,1
Thomas Carper,1,1,11jan2021,Spouse,SH,Sale,15000,1000,,.039510526,,,-.032694476,-.072205002,1
Thomas Carper,1,1,11jan2021,Spouse,PSQ,Sale,15000,1000,,.039510526,,,-.060627178,-.100137703,1
Thomas Carper,1,1,11jan2021,Spouse,SH,Sale,15000,1000,,.039510526,,,-.032694476,-.072205002,1
Thomas Carper,1,1,11jan2021,Spouse,CAG,Sale,15000,1000,,.039510526,,,.051359517,.011848991,1
Thomas Carper,1,1,08jan2021,Spouse,AJRD,Sale,15000,1000,,.024445591,,,-.000757719,-.02520331,1
James Inhofe,0,1,05jan2021,Self,CRSP,Sale,15000,1000,,.035160399,,,.046880837,.011720437,1
Thomas Carper,1,1,04jan2021,Spouse,PSQ,Purchase,15000,1000,,.028923407,,,,,1
Thomas Carper,1,1,04jan2021,Spouse,SH,Purchase,15000,1000,,.028923407,,,,,1
Thomas Carper,1,1,04jan2021,Spouse,PSQ,Purchase,15000,1000,,.028923407,,,,,1
Thomas Carper,1,1,04jan2021,Spouse,SH,Purchase,15000,1000,,.028923407,,,,,1
Thomas Carper,1,1,04jan2021,Spouse,PSQ,Purchase,15000,1000,,.028923407,,,,,1
